customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,IsSeniorCitizen
7590-VHVEG,Female,-0.43991649313097614,Yes,No,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1603229160349193,1.4822482244071589,No,0
5575-GNVDE,Male,-0.43991649313097614,No,No,0.06632741908223598,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,-0.2596289419448806,-0.017220517638255613,No,0
3668-QPYBK,Male,-0.43991649313097614,No,No,-1.2367242199587352,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.3626603559551803,0.4485108458286276,Yes,0
7795-CFOCW,Male,-0.43991649313097614,No,No,0.5142514200025698,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),-0.7465354629935549,-0.38390692192671155,No,0
9237-HQITU,Female,-0.43991649313097614,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.19736523310080326,-0.24408636395356484,Yes,0
9305-CDSKC,Female,-0.43991649313097614,No,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1595456961969886,-1.1507355116409062,Yes,0
1452-KIOVK,Male,-0.43991649313097614,No,Yes,-0.4223169455581282,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.8089065291619363,-0.3416149346376959,No,0
6713-OKOMC,Female,-0.43991649313097614,No,No,-0.9109613101984924,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.1636465100352518,1.060036949389616,No,0
7892-POOKP,Female,-0.43991649313097614,Yes,No,-0.1779947632379461,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.330710787214099,-0.23685955150835444,Yes,0
6388-TABGU,Male,-0.43991649313097614,No,Yes,1.2064976032430856,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),-0.28621769394753876,-0.34532096175346855,No,0
9763-GRSKD,Male,-0.43991649313097614,Yes,Yes,-0.7888002190384014,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.4922805219681379,0.3883109835568057,No,0
7469-LKBCI,Male,-0.43991649313097614,No,No,-0.6666391278783103,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5225946620711341,1.0150211776352713,No,0
8091-TTVAX,Male,-0.43991649313097614,Yes,No,1.0436161483629645,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.182810854199314,1.234400507901396,No,0
0280-XJGEX,Male,-0.43991649313097614,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2941512532104444,0.8763123586194259,Yes,0
5129-JLPIS,Male,-0.43991649313097614,No,No,-0.30015585439803716,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.3539759452164248,-0.40640380667082593,No,0
3655-SNQYZ,Female,-0.43991649313097614,Yes,Yes,1.4915401492832983,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.611554480242174,2.40369821003858,No,0
